caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight,first,give,given,last,matrilineal,nick,nickname,suffix
,Eau Claire,1958,,Northern League,,mcconnell/HHDYJBC,,OF-SS,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Eau Claire,1959,,Northern League,,mcconnell/HHDYJBC,,2B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Louisville,1960,,American Association,,mcconnell/HHDYJBC,,PH,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Cedar Rapids,1960,,Illinois-Indiana-Iowa League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Jacksonville,1960,,South Atlantic League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Austin,1961,,Texas League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1962,,National League,,mcconnell/HHDYJBC,,1B-OF-2B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1963,,National League,,mcconnell/HHDYJBC,,1B-OF-2B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Denver,1963,,Pacific Coast League,,mcconnell/HHDYJBC,,2B-1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Denver,1964,,Pacific Coast League,,mcconnell/HHDYJBC,,1B-2B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1965,,International League,,mcconnell/HHDYJBC,,2B-1B-OF-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1965,,National League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1966,,International League,,mcconnell/HHDYJBC,,1B-OF-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1967,,International League,,mcconnell/HHDYJBC,,OF-1B-2B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1968,,National League,,mcconnell/HHDYJBC,,OF-1B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1969,,National League,,mcconnell/HHDYJBC,,1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1970,,National League,,mcconnell/HHDYJBC,,1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1971,,International League,,mcconnell/HHDYJBC,,3B-1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1971,,National League,,mcconnell/HHDYJBC,,1B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1972,,International League,,mcconnell/HHDYJBC,,1B-3B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Savannah,1973,,Southern League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Rome,1914,,Georgia-Alabama League,,blau/VHYDJQG,,,,blau/blau-20180715,,player,,,,,Aaron,,,,
,Winston-Salem,1911,,Carolina Association,,morris/MYQTJCB,,,,morris/1911CarolinaAssociation/TwinCityDailySentinel/3,,player,,Archie,,,Aaronson,,,,
